dteday,yr,mnth,season,cnt,year
2011-06-27,0,6,3,4708,2011
2011-06-28,0,6,3,4648,2011
2011-06-29,0,6,3,5225,2011
2011-06-30,0,6,3,5515,2011
2011-07-01,0,7,3,5362,2011
2011-07-02,0,7,3,5119,2011
2011-07-03,0,7,3,4649,2011
2011-07-04,0,7,3,6043,2011
2011-07-05,0,7,3,4665,2011
2011-07-06,0,7,3,4629,2011
2011-07-07,0,7,3,4592,2011
2011-07-08,0,7,3,4040,2011
2011-07-09,0,7,3,5336,2011
2011-07-10,0,7,3,4881,2011
2011-07-11,0,7,3,4086,2011
2011-07-12,0,7,3,4258,2011
2011-07-13,0,7,3,4342,2011
2011-07-14,0,7,3,5084,2011
2011-07-15,0,7,3,5538,2011
2011-07-16,0,7,3,5923,2011
2011-07-17,0,7,3,5302,2011
2011-07-18,0,7,3,4458,2011
2011-07-19,0,7,3,4541,2011
2011-07-20,0,7,3,4332,2011
2011-07-21,0,7,3,3784,2011
2011-07-22,0,7,3,3387,2011
2011-07-23,0,7,3,3285,2011
2011-07-24,0,7,3,3606,2011
2011-07-25,0,7,3,3840,2011
2011-07-26,0,7,3,4590,2011
2011-07-27,0,7,3,4656,2011
2011-07-28,0,7,3,4390,2011
2011-07-29,0,7,3,3846,2011
2011-07-30,0,7,3,4475,2011
2011-07-31,0,7,3,4302,2011
2011-08-01,0,8,3,4266,2011
2011-08-02,0,8,3,4845,2011
2011-08-03,0,8,3,3574,2011
2011-08-04,0,8,3,4576,2011
2011-08-05,0,8,3,4866,2011
2011-08-06,0,8,3,4294,2011
2011-08-07,0,8,3,3785,2011
2011-08-08,0,8,3,4326,2011
2011-08-09,0,8,3,4602,2011
2011-08-10,0,8,3,4780,2011
2011-08-11,0,8,3,4792,2011
2011-08-12,0,8,3,4905,2011
2011-08-13,0,8,3,4150,2011
2011-08-14,0,8,3,3820,2011
2011-08-15,0,8,3,4338,2011
2011-08-16,0,8,3,4725,2011
2011-08-17,0,8,3,4694,2011
2011-08-18,0,8,3,3805,2011
2011-08-19,0,8,3,4153,2011
2011-08-20,0,8,3,5191,2011
2011-08-21,0,8,3,3873,2011
2011-08-22,0,8,3,4758,2011
2011-08-23,0,8,3,5895,2011
2011-08-24,0,8,3,5130,2011
2011-08-25,0,8,3,3542,2011
2011-08-26,0,8,3,4661,2011
2011-08-27,0,8,3,1115,2011
2011-08-28,0,8,3,4334,2011
2011-08-29,0,8,3,4634,2011
2011-08-30,0,8,3,5204,2011
2011-08-31,0,8,3,5058,2011
2011-09-01,0,9,3,5115,2011
2011-09-02,0,9,3,4727,2011
2011-09-03,0,9,3,4484,2011
2011-09-04,0,9,3,4940,2011
2011-09-05,0,9,3,3351,2011
2011-09-06,0,9,3,2710,2011
2011-09-07,0,9,3,1996,2011
2011-09-08,0,9,3,1842,2011
2011-09-09,0,9,3,3544,2011
2011-09-10,0,9,3,5345,2011
2011-09-11,0,9,3,5046,2011
2011-09-12,0,9,3,4713,2011
2011-09-13,0,9,3,4763,2011
2011-09-14,0,9,3,4785,2011
2011-09-15,0,9,3,3659,2011
2011-09-16,0,9,3,4760,2011
2011-09-17,0,9,3,4511,2011
2011-09-18,0,9,3,4274,2011
2011-09-19,0,9,3,4539,2011
2011-09-20,0,9,3,3641,2011
2011-09-21,0,9,3,4352,2011
2011-09-22,0,9,3,4795,2011
2011-09-23,0,9,4,2395,2011
2011-09-24,0,9,4,5423,2011
2011-09-25,0,9,4,5010,2011
2011-09-26,0,9,4,4630,2011
2011-09-27,0,9,4,4120,2011
2011-09-28,0,9,4,3907,2011
2011-09-29,0,9,4,4839,2011
2011-09-30,0,9,4,5202,2011
2011-10-01,0,10,4,2429,2011
2011-10-02,0,10,4,2918,2011
2011-10-03,0,10,4,3570,2011
2011-10-04,0,10,4,4456,2011
2011-10-05,0,10,4,4826,2011
2011-10-06,0,10,4,4765,2011
2011-10-07,0,10,4,4985,2011
2011-10-08,0,10,4,5409,2011
2011-10-09,0,10,4,5511,2011
2011-10-10,0,10,4,5117,2011
2011-10-11,0,10,4,4563,2011
2011-10-12,0,10,4,2416,2011
2011-10-13,0,10,4,2913,2011
2011-10-14,0,10,4,3644,2011
2011-10-15,0,10,4,5217,2011
2011-10-16,0,10,4,5041,2011
2011-10-17,0,10,4,4570,2011
2011-10-18,0,10,4,4748,2011
2011-10-19,0,10,4,2424,2011
2011-10-20,0,10,4,4195,2011
2011-10-21,0,10,4,4304,2011
2011-10-22,0,10,4,4308,2011
2011-10-23,0,10,4,4381,2011
2011-10-24,0,10,4,4187,2011
2011-10-25,0,10,4,4687,2011
2011-10-26,0,10,4,3894,2011
2011-10-27,0,10,4,2659,2011
2011-10-28,0,10,4,3747,2011
2011-10-29,0,10,4,627,2011
2011-10-30,0,10,4,3331,2011
2011-10-31,0,10,4,3669,2011
2011-11-01,0,11,4,4068,2011
2011-11-02,0,11,4,4186,2011
2011-11-03,0,11,4,3974,2011
2011-11-04,0,11,4,4046,2011
2011-11-05,0,11,4,3926,2011
2011-11-06,0,11,4,3649,2011
2011-11-07,0,11,4,4035,2011
2011-11-08,0,11,4,4205,2011
2011-11-09,0,11,4,4109,2011
2011-11-10,0,11,4,2933,2011
2011-11-11,0,11,4,3368,2011
2011-11-12,0,11,4,4067,2011
2011-11-13,0,11,4,3717,2011
2011-11-14,0,11,4,4486,2011
2011-11-15,0,11,4,4195,2011
2011-11-16,0,11,4,1817,2011
2011-11-17,0,11,4,3053,2011
2011-11-18,0,11,4,3392,2011
2011-11-19,0,11,4,3663,2011
2011-11-20,0,11,4,3520,2011
2011-11-21,0,11,4,2765,2011
2011-11-22,0,11,4,1607,2011
2011-11-23,0,11,4,2566,2011
2011-11-24,0,11,4,1495,2011
2011-11-25,0,11,4,2792,2011
2011-11-26,0,11,4,3068,2011
2011-11-27,0,11,4,3071,2011
2011-11-28,0,11,4,3867,2011
2011-11-29,0,11,4,2914,2011
2011-11-30,0,11,4,3613,2011
2011-12-01,0,12,4,3727,2011
2011-12-02,0,12,4,3940,2011
2011-12-03,0,12,4,3614,2011
2011-12-04,0,12,4,3485,2011
2011-12-05,0,12,4,3811,2011
2011-12-06,0,12,4,2594,2011
2011-12-07,0,12,4,705,2011
2011-12-08,0,12,4,3322,2011
2011-12-09,0,12,4,3620,2011
2011-12-10,0,12,4,3190,2011
2011-12-11,0,12,4,2743,2011
2011-12-12,0,12,4,3310,2011
2011-12-13,0,12,4,3523,2011
2011-12-14,0,12,4,3740,2011
2011-12-15,0,12,4,3709,2011
2011-12-16,0,12,4,3577,2011
2011-12-17,0,12,4,2739,2011
2011-12-18,0,12,4,2431,2011
2011-12-19,0,12,4,3403,2011
2011-12-20,0,12,4,3750,2011
2011-12-21,0,12,1,2660,2011
2011-12-22,0,12,1,3068,2011
2011-12-23,0,12,1,2209,2011
2011-12-24,0,12,1,1011,2011
2011-12-25,0,12,1,754,2011
2011-12-26,0,12,1,1317,2011
2011-12-27,0,12,1,1162,2011
2011-12-28,0,12,1,2302,2011
2011-12-29,0,12,1,2423,2011
2011-12-30,0,12,1,2999,2011
2011-12-31,0,12,1,2485,2011
2012-01-01,1,1,1,2294,2012
2012-01-02,1,1,1,1951,2012
2012-01-03,1,1,1,2236,2012
2012-01-04,1,1,1,2368,2012
2012-01-05,1,1,1,3272,2012
2012-01-06,1,1,1,4098,2012
2012-01-07,1,1,1,4521,2012
2012-01-08,1,1,1,3425,2012
2012-01-09,1,1,1,2376,2012
2012-01-10,1,1,1,3598,2012
2012-01-11,1,1,1,2177,2012
2012-01-12,1,1,1,4097,2012
2012-01-13,1,1,1,3214,2012
2012-01-14,1,1,1,2493,2012
2012-01-15,1,1,1,2311,2012
2012-01-16,1,1,1,2298,2012
2012-01-17,1,1,1,2935,2012
2012-01-18,1,1,1,3376,2012
2012-01-19,1,1,1,3292,2012
2012-01-20,1,1,1,3163,2012
2012-01-21,1,1,1,1301,2012
2012-01-22,1,1,1,1977,2012
2012-01-23,1,1,1,2432,2012
2012-01-24,1,1,1,4339,2012
2012-01-25,1,1,1,4270,2012
2012-01-26,1,1,1,4075,2012
2012-01-27,1,1,1,3456,2012
2012-01-28,1,1,1,4023,2012
2012-01-29,1,1,1,3243,2012
2012-01-30,1,1,1,3624,2012
2012-01-31,1,1,1,4509,2012
2012-02-01,1,2,1,4579,2012
2012-02-02,1,2,1,3761,2012
2012-02-03,1,2,1,4151,2012
2012-02-04,1,2,1,2832,2012
2012-02-05,1,2,1,2947,2012
2012-02-06,1,2,1,3784,2012
2012-02-07,1,2,1,4375,2012
2012-02-08,1,2,1,2802,2012
2012-02-09,1,2,1,3830,2012
2012-02-10,1,2,1,3831,2012
2012-02-11,1,2,1,2169,2012
2012-02-12,1,2,1,1529,2012
2012-02-13,1,2,1,3422,2012
2012-02-14,1,2,1,3922,2012
2012-02-15,1,2,1,4169,2012
2012-02-16,1,2,1,3005,2012
2012-02-17,1,2,1,4154,2012
2012-02-18,1,2,1,4318,2012
2012-02-19,1,2,1,2689,2012
2012-02-20,1,2,1,3129,2012
2012-02-21,1,2,1,3777,2012
2012-02-22,1,2,1,4773,2012
2012-02-23,1,2,1,5062,2012
2012-02-24,1,2,1,3487,2012
2012-02-25,1,2,1,2732,2012
2012-02-26,1,2,1,3389,2012
2012-02-27,1,2,1,4322,2012
2012-02-28,1,2,1,4363,2012
2012-02-29,1,2,1,1834,2012
2012-03-01,1,3,1,4990,2012
2012-03-02,1,3,1,3194,2012
2012-03-03,1,3,1,4066,2012
2012-03-04,1,3,1,3423,2012
2012-03-05,1,3,1,3333,2012
2012-03-06,1,3,1,3956,2012
2012-03-07,1,3,1,4916,2012
2012-03-08,1,3,1,5382,2012
2012-03-09,1,3,1,4569,2012
2012-03-10,1,3,1,4118,2012
2012-03-11,1,3,1,4911,2012
2012-03-12,1,3,1,5298,2012
2012-03-13,1,3,1,5847,2012
2012-03-14,1,3,1,6312,2012
2012-03-15,1,3,1,6192,2012
2012-03-16,1,3,1,4378,2012
2012-03-17,1,3,1,7836,2012
2012-03-18,1,3,1,5892,2012
2012-03-19,1,3,1,6153,2012
2012-03-20,1,3,1,6093,2012
2012-03-21,1,3,2,6230,2012
2012-03-22,1,3,2,6871,2012
2012-03-23,1,3,2,8362,2012
2012-03-24,1,3,2,3372,2012
2012-03-25,1,3,2,4996,2012
2012-03-26,1,3,2,5558,2012
2012-03-27,1,3,2,5102,2012
2012-03-28,1,3,2,5698,2012
2012-03-29,1,3,2,6133,2012
2012-03-30,1,3,2,5459,2012
2012-03-31,1,3,2,6235,2012
2012-04-01,1,4,2,6041,2012
2012-04-02,1,4,2,5936,2012
2012-04-03,1,4,2,6772,2012
2012-04-04,1,4,2,6436,2012
2012-04-05,1,4,2,6457,2012
2012-04-06,1,4,2,6460,2012
2012-04-07,1,4,2,6857,2012
2012-04-08,1,4,2,5169,2012
2012-04-09,1,4,2,5585,2012
2012-04-10,1,4,2,5918,2012
2012-04-11,1,4,2,4862,2012
2012-04-12,1,4,2,5409,2012
2012-04-13,1,4,2,6398,2012
2012-04-14,1,4,2,7460,2012
2012-04-15,1,4,2,7132,2012
2012-04-16,1,4,2,6370,2012
2012-04-17,1,4,2,6691,2012
2012-04-18,1,4,2,4367,2012
2012-04-19,1,4,2,6565,2012
2012-04-20,1,4,2,7290,2012
2012-04-21,1,4,2,6624,2012
2012-04-22,1,4,2,1027,2012
2012-04-23,1,4,2,3214,2012
2012-04-24,1,4,2,5633,2012
2012-04-25,1,4,2,6196,2012
2012-04-26,1,4,2,5026,2012
2012-04-27,1,4,2,6233,2012
2012-04-28,1,4,2,4220,2012
2012-04-29,1,4,2,6304,2012
2012-04-30,1,4,2,5572,2012
2012-05-01,1,5,2,5740,2012
2012-05-02,1,5,2,6169,2012
2012-05-03,1,5,2,6421,2012
2012-05-04,1,5,2,6296,2012
2012-05-05,1,5,2,6883,2012
2012-05-06,1,5,2,6359,2012
2012-05-07,1,5,2,6273,2012
2012-05-08,1,5,2,5728,2012
2012-05-09,1,5,2,4717,2012
2012-05-10,1,5,2,6572,2012
2012-05-11,1,5,2,7030,2012
2012-05-12,1,5,2,7429,2012
2012-05-13,1,5,2,6118,2012
2012-05-14,1,5,2,2843,2012
2012-05-15,1,5,2,5115,2012
2012-05-16,1,5,2,7424,2012
2012-05-17,1,5,2,7384,2012
2012-05-18,1,5,2,7639,2012
2012-05-19,1,5,2,8294,2012
2012-05-20,1,5,2,7129,2012
2012-05-21,1,5,2,4359,2012
2012-05-22,1,5,2,6073,2012
2012-05-23,1,5,2,5260,2012
2012-05-24,1,5,2,6770,2012
2012-05-25,1,5,2,6734,2012
2012-05-26,1,5,2,6536,2012
2012-05-27,1,5,2,6591,2012
2012-05-28,1,5,2,6043,2012
2012-05-29,1,5,2,5743,2012
2012-05-30,1,5,2,6855,2012
2012-05-31,1,5,2,7338,2012
2012-06-01,1,6,2,4127,2012
2012-06-02,1,6,2,8120,2012
2012-06-03,1,6,2,7641,2012
2012-06-04,1,6,2,6998,2012
2012-06-05,1,6,2,7001,2012
2012-06-06,1,6,2,7055,2012
2012-06-07,1,6,2,7494,2012
2012-06-08,1,6,2,7736,2012
2012-06-09,1,6,2,7498,2012
2012-06-10,1,6,2,6598,2012
2012-06-11,1,6,2,6664,2012
2012-06-12,1,6,2,4972,2012
2012-06-13,1,6,2,7421,2012
2012-06-14,1,6,2,7363,2012
2012-06-15,1,6,2,7665,2012
2012-06-16,1,6,2,7702,2012
2012-06-17,1,6,2,6978,2012
2012-06-18,1,6,2,5099,2012
2012-06-19,1,6,2,6825,2012
2012-06-20,1,6,2,6211,2012
2012-06-21,1,6,3,5905,2012
2012-06-22,1,6,3,5823,2012
2012-06-23,1,6,3,7458,2012
2012-06-24,1,6,3,6891,2012
2012-06-25,1,6,3,6779,2012
2012-06-26,1,6,3,7442,2012
2012-06-27,1,6,3,7335,2012
2012-06-28,1,6,3,6879,2012
2012-06-29,1,6,3,5463,2012
2012-06-30,1,6,3,5687,2012
2012-07-01,1,7,3,5531,2012
2012-07-02,1,7,3,6227,2012
2012-07-03,1,7,3,6660,2012
2012-07-04,1,7,3,7403,2012
2012-07-05,1,7,3,6241,2012
2012-07-06,1,7,3,6207,2012
2012-07-07,1,7,3,4840,2012
2012-07-08,1,7,3,4672,2012
2012-07-09,1,7,3,6569,2012
2012-07-10,1,7,3,6290,2012
2012-07-11,1,7,3,7264,2012
2012-07-12,1,7,3,7446,2012
2012-07-13,1,7,3,7499,2012
2012-07-14,1,7,3,6969,2012
2012-07-15,1,7,3,6031,2012
2012-07-16,1,7,3,6830,2012
2012-07-17,1,7,3,6786,2012
2012-07-18,1,7,3,5713,2012
2012-07-19,1,7,3,6591,2012
2012-07-20,1,7,3,5870,2012
2012-07-21,1,7,3,4459,2012
2012-07-22,1,7,3,7410,2012
2012-07-23,1,7,3,6966,2012
2012-07-24,1,7,3,7592,2012
2012-07-25,1,7,3,8173,2012
2012-07-26,1,7,3,6861,2012
2012-07-27,1,7,3,6904,2012
2012-07-28,1,7,3,6685,2012
2012-07-29,1,7,3,6597,2012
2012-07-30,1,7,3,7105,2012
2012-07-31,1,7,3,7216,2012
2012-08-01,1,8,3,7580,2012
2012-08-02,1,8,3,7261,2012
2012-08-03,1,8,3,7175,2012
2012-08-04,1,8,3,6824,2012
2012-08-05,1,8,3,5464,2012
2012-08-06,1,8,3,7013,2012
2012-08-07,1,8,3,7273,2012
2012-08-08,1,8,3,7534,2012
2012-08-09,1,8,3,7286,2012
2012-08-10,1,8,3,5786,2012
2012-08-11,1,8,3,6299,2012
2012-08-12,1,8,3,6544,2012
2012-08-13,1,8,3,6883,2012
2012-08-14,1,8,3,6784,2012
2012-08-15,1,8,3,7347,2012
2012-08-16,1,8,3,7605,2012
2012-08-17,1,8,3,7148,2012
2012-08-18,1,8,3,7865,2012
2012-08-19,1,8,3,4549,2012
2012-08-20,1,8,3,6530,2012
2012-08-21,1,8,3,7006,2012
2012-08-22,1,8,3,7375,2012
2012-08-23,1,8,3,7765,2012
2012-08-24,1,8,3,7582,2012
2012-08-25,1,8,3,6053,2012
2012-08-26,1,8,3,5255,2012
2012-08-27,1,8,3,6917,2012
2012-08-28,1,8,3,7040,2012
2012-08-29,1,8,3,7697,2012
2012-08-30,1,8,3,7713,2012
2012-08-31,1,8,3,7350,2012
2012-09-01,1,9,3,6140,2012
2012-09-02,1,9,3,5810,2012
2012-09-03,1,9,3,6034,2012
2012-09-04,1,9,3,6864,2012
2012-09-05,1,9,3,7112,2012
2012-09-06,1,9,3,6203,2012
2012-09-07,1,9,3,7504,2012
2012-09-08,1,9,3,5976,2012
2012-09-09,1,9,3,8227,2012
2012-09-10,1,9,3,7525,2012
2012-09-11,1,9,3,7767,2012
2012-09-12,1,9,3,7870,2012
2012-09-13,1,9,3,7804,2012
2012-09-14,1,9,3,8009,2012
2012-09-15,1,9,3,8714,2012
2012-09-16,1,9,3,7333,2012
2012-09-17,1,9,3,6869,2012
2012-09-18,1,9,3,4073,2012
2012-09-19,1,9,3,7591,2012
2012-09-20,1,9,3,7720,2012
2012-09-21,1,9,3,8167,2012
2012-09-22,1,9,3,8395,2012
2012-09-23,1,9,4,7907,2012
2012-09-24,1,9,4,7436,2012
2012-09-25,1,9,4,7538,2012
2012-09-26,1,9,4,7733,2012
2012-09-27,1,9,4,7393,2012
2012-09-28,1,9,4,7415,2012
2012-09-29,1,9,4,8555,2012
2012-09-30,1,9,4,6889,2012
2012-10-01,1,10,4,6778,2012
2012-10-02,1,10,4,4639,2012
2012-10-03,1,10,4,7572,2012
2012-10-04,1,10,4,7328,2012
2012-10-05,1,10,4,8156,2012
2012-10-06,1,10,4,7965,2012
2012-10-07,1,10,4,3510,2012
2012-10-08,1,10,4,5478,2012
2012-10-09,1,10,4,6392,2012
2012-10-10,1,10,4,7691,2012
2012-10-11,1,10,4,7570,2012
2012-10-12,1,10,4,7282,2012
2012-10-13,1,10,4,7109,2012
2012-10-14,1,10,4,6639,2012
2012-10-15,1,10,4,5875,2012
2012-10-16,1,10,4,7534,2012
2012-10-17,1,10,4,7461,2012
2012-10-18,1,10,4,7509,2012
2012-10-19,1,10,4,5424,2012
2012-10-20,1,10,4,8090,2012
2012-10-21,1,10,4,6824,2012
2012-10-22,1,10,4,7058,2012
2012-10-23,1,10,4,7466,2012
2012-10-24,1,10,4,7693,2012
2012-10-25,1,10,4,7359,2012
2012-10-26,1,10,4,7444,2012
2012-10-27,1,10,4,7852,2012
2012-10-28,1,10,4,4459,2012
2012-10-29,1,10,4,22,2012
2012-10-30,1,10,4,1096,2012
2012-10-31,1,10,4,5566,2012
2012-11-01,1,11,4,5986,2012
2012-11-02,1,11,4,5847,2012
2012-11-03,1,11,4,5138,2012
2012-11-04,1,11,4,5107,2012
2012-11-05,1,11,4,5259,2012
2012-11-06,1,11,4,5686,2012
2012-11-07,1,11,4,5035,2012
2012-11-08,1,11,4,5315,2012
2012-11-09,1,11,4,5992,2012
2012-11-10,1,11,4,6536,2012
2012-11-11,1,11,4,6852,2012
2012-11-12,1,11,4,6269,2012
2012-11-13,1,11,4,4094,2012
2012-11-14,1,11,4,5495,2012
2012-11-15,1,11,4,5445,2012
2012-11-16,1,11,4,5698,2012
2012-11-17,1,11,4,5629,2012
2012-11-18,1,11,4,4669,2012
2012-11-19,1,11,4,5499,2012
2012-11-20,1,11,4,5634,2012
2012-11-21,1,11,4,5146,2012
2012-11-22,1,11,4,2425,2012
2012-11-23,1,11,4,3910,2012
2012-11-24,1,11,4,2277,2012
2012-11-25,1,11,4,2424,2012
2012-11-26,1,11,4,5087,2012
2012-11-27,1,11,4,3959,2012
2012-11-28,1,11,4,5260,2012
2012-11-29,1,11,4,5323,2012
2012-11-30,1,11,4,5668,2012
2012-12-01,1,12,4,5191,2012
2012-12-02,1,12,4,4649,2012
2012-12-03,1,12,4,6234,2012
2012-12-04,1,12,4,6606,2012
2012-12-05,1,12,4,5729,2012
2012-12-06,1,12,4,5375,2012
2012-12-07,1,12,4,5008,2012
2012-12-08,1,12,4,5582,2012
2012-12-09,1,12,4,3228,2012
2012-12-10,1,12,4,5170,2012
2012-12-11,1,12,4,5501,2012
2012-12-12,1,12,4,5319,2012
2012-12-13,1,12,4,5532,2012
2012-12-14,1,12,4,5611,2012
2012-12-15,1,12,4,5047,2012
2012-12-16,1,12,4,3786,2012
2012-12-17,1,12,4,4585,2012
2012-12-18,1,12,4,5557,2012
2012-12-19,1,12,4,5267,2012
2012-12-20,1,12,4,4128,2012
2012-12-21,1,12,1,3623,2012
2012-12-22,1,12,1,1749,2012
2012-12-23,1,12,1,1787,2012
2012-12-24,1,12,1,920,2012
2012-12-25,1,12,1,1013,2012
2012-12-26,1,12,1,441,2012
2012-12-27,1,12,1,2114,2012
2012-12-28,1,12,1,3095,2012
2012-12-29,1,12,1,1341,2012
2012-12-30,1,12,1,1796,2012
2012-12-31,1,12,1,2729,2012
